✅ or ❌,page,initials,date
,urn:cite2:hmt:msA.v1:293v,,
,urn:cite2:hmt:msA.v1:294r,,
,urn:cite2:hmt:msA.v1:294v,,
,urn:cite2:hmt:msA.v1:295r,,
,urn:cite2:hmt:msA.v1:295v,,
,urn:cite2:hmt:msA.v1:296r,,
,urn:cite2:hmt:msA.v1:296v,,
,urn:cite2:hmt:msA.v1:297r,,
,urn:cite2:hmt:msA.v1:297v,,
,urn:cite2:hmt:msA.v1:298r,,
,urn:cite2:hmt:msA.v1:298v,,
,urn:cite2:hmt:msA.v1:299r,,
,urn:cite2:hmt:msA.v1:299v,,
,urn:cite2:hmt:msA.v1:300r,,
,urn:cite2:hmt:msA.v1:300v,,
,urn:cite2:hmt:msA.v1:301r,,
,urn:cite2:hmt:msA.v1:301v,,
,urn:cite2:hmt:msA.v1:302r,,
,urn:cite2:hmt:msA.v1:302v,,
,urn:cite2:hmt:msA.v1:303r,,
,urn:cite2:hmt:msA.v1:303v,,
,urn:cite2:hmt:msA.v1:304r,,
,urn:cite2:hmt:msA.v1:304v,,
,urn:cite2:hmt:msA.v1:305r,,
,urn:cite2:hmt:msA.v1:305v,,
,urn:cite2:hmt:msA.v1:306r,,
,urn:cite2:hmt:msA.v1:306v,,
,urn:cite2:hmt:msA.v1:307r,,
,urn:cite2:hmt:msA.v1:307v,,
,urn:cite2:hmt:msA.v1:308r,,
,urn:cite2:hmt:msA.v1:308v,,
,urn:cite2:hmt:msA.v1:309r,,
,urn:cite2:hmt:msA.v1:309v,,
,urn:cite2:hmt:msA.v1:310r,,
,urn:cite2:hmt:msA.v1:310v,,
,urn:cite2:hmt:msA.v1:311r,,
,urn:cite2:hmt:msA.v1:311v,,
,urn:cite2:hmt:msA.v1:312r,,
,urn:cite2:hmt:msA.v1:312v,,
,urn:cite2:hmt:msA.v1:313r,,
,urn:cite2:hmt:msA.v1:313v,,
,urn:cite2:hmt:msA.v1:314r,,
,urn:cite2:hmt:msA.v1:314v,,
,urn:cite2:hmt:msA.v1:315r,,
,urn:cite2:hmt:msA.v1:315v,,
,urn:cite2:hmt:msA.v1:316r,,
,urn:cite2:hmt:msA.v1:316v,,
,urn:cite2:hmt:msA.v1:317r,,
,urn:cite2:hmt:msA.v1:317v,,
,urn:cite2:hmt:msA.v1:318r,,
,urn:cite2:hmt:msA.v1:318v,,
,urn:cite2:hmt:msA.v1:319r,,
,urn:cite2:hmt:msA.v1:319v,,
,urn:cite2:hmt:msA.v1:320r,,
,urn:cite2:hmt:msA.v1:320v,,
,urn:cite2:hmt:msA.v1:321r,,
,urn:cite2:hmt:msA.v1:321v,,
,urn:cite2:hmt:msA.v1:322r,,
,urn:cite2:hmt:msA.v1:322v,,
,urn:cite2:hmt:msA.v1:323r,,
,urn:cite2:hmt:msA.v1:323v,,
,urn:cite2:hmt:msA.v1:324r,,
,urn:cite2:hmt:msA.v1:324v,,
,urn:cite2:hmt:msA.v1:325r,,
,urn:cite2:hmt:msA.v1:325v,,
,urn:cite2:hmt:msA.v1:326r,,
,urn:cite2:hmt:msA.v1:326v,,
✅,urn:cite2:hmt:msA.v1:327r,NS,03/25/2022
✅,urn:cite2:hmt:msA.v1:327v,NS,03/24/2022
